"file_id","input_path","output_path","review_type","field","original_value","candidate","confidence","status","reason","evidence","score","legacy_rejection","ambiguity","density_gap","center_density","center_edge_ratio","threshold_vote_ratio","multiscale_stability"
"MX-M3658N_20260731_162311_001.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_001.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_001.png","ID_REVIEW","id7","","1","0.663","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.32","","0.337","0.196","0.701","2.054","0.000","0.000"
"MX-M3658N_20260731_162311_001.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_001.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_001.png","SINGLE_CHOICE_CONFLICT_REVIEW","q1","ABCD","C","0.879","REVIEW","single_choice_conflict","gap,delta_from_blank","4.39","","0.121","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260731_162311_001.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_001.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_001.png","SINGLE_CHOICE_CONFLICT_REVIEW","q2","ABD","A","0.800","REVIEW","single_choice_conflict","gap,delta_from_blank","4.00","","0.200","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260731_162311_001.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_001.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_001.png","WEAK_MARK_REVIEW","q5","","D","0.631","LEGACY","score_disabled","","0.00","adaptive_min_delta_from_blank","0.000","0.198","0.547","1.994","1.000","1.000"
"MX-M3658N_20260731_162311_002.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_002.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_002.png","ID_REVIEW","id1","","2","0.672","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.36","","0.328","0.196","0.715","2.164","0.000","0.000"
"MX-M3658N_20260731_162311_002.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_002.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_002.png","ID_REVIEW","id2","","4","0.636","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.18","","0.364","0.188","0.681","2.372","0.000","0.000"
"MX-M3658N_20260731_162311_002.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_002.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_002.png","ID_REVIEW","id3","","3","0.538","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","2.69","","0.462","0.119","0.507","1.533","0.000","0.000"
"MX-M3658N_20260731_162311_002.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_002.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_002.png","ID_REVIEW","id5","","1","0.607","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.03","","0.393","0.138","0.604","1.663","0.000","0.000"
"MX-M3658N_20260731_162311_002.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_002.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_002.png","ID_REVIEW","id6","","0","0.572","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","2.86","","0.428","0.138","0.535","1.717","0.000","0.000"
"MX-M3658N_20260731_162311_002.png",".jcode_runs\regression\weak\MX-M3658N_20260731_162311_002.pdf","outputs\weak_20260803_015434\CheckedOMRs\MX-M3658N_20260731_162311_002.png","ID_REVIEW","id7","","7","0.774","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.87","","0.226","0.269","0.722","2.003","0.000","0.000"
