"file_id","input_path","output_path","review_type","field","original_value","candidate","confidence","status","reason","evidence","score","legacy_rejection","ambiguity","density_gap","center_density","center_edge_ratio","threshold_vote_ratio","multiscale_stability"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_001.png","ID_REVIEW","id1","","2","0.554","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","2.77","","0.446","0.023","0.257","0.723","0.000","0.000"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_001.png","ID_REVIEW","id3","","2","0.770","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.85","","0.230","0.081","0.438","1.020","0.000","0.000"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_001.png","ID_REVIEW","id4","","5","0.838","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","4.19","","0.162","0.165","0.618","1.528","0.000","0.000"
"MX-M3658N_20260803_172528_002.png","inputs\MX-M3658N_20260803_172528_002.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_002.png","ID_REVIEW","id1","","2","0.702","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.51","","0.298","0.077","0.375","0.874","0.000","0.000"
"MX-M3658N_20260803_172528_003.png","inputs\MX-M3658N_20260803_172528_003.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_003.png","ID_REVIEW","id1","","2","0.597","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","2.98","","0.403","0.065","0.292","0.763","0.000","0.000"
"MX-M3658N_20260803_172528_003.png","inputs\MX-M3658N_20260803_172528_003.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_003.png","WEAK_MARK_REVIEW","q3","","B","0.294","LEGACY","score_disabled","","0.00","adaptive_min_delta_from_blank","0.000","0.000","0.394","1.765","0.500","0.750"
"MX-M3658N_20260803_172528_004.png","inputs\MX-M3658N_20260803_172528_004.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_004.png","ID_REVIEW","id1","","2","0.697","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.48","","0.303","0.081","0.340","0.958","0.000","0.000"
"MX-M3658N_20260803_172528_004.png","inputs\MX-M3658N_20260803_172528_004.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_004.png","ID_REVIEW","id3","","2","0.696","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.48","","0.304","0.077","0.410","0.967","0.000","0.000"
"MX-M3658N_20260803_172528_004.png","inputs\MX-M3658N_20260803_172528_004.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_004.png","ID_REVIEW","id8","","4","0.394","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","1.97","support","0.606","0.023","0.319","0.726","0.000","0.000"
"MX-M3658N_20260803_172528_005.png","inputs\MX-M3658N_20260803_172528_005.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_005.png","ID_REVIEW","id1","","2","0.681","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.40","","0.319","0.073","0.354","0.926","0.000","0.000"
"MX-M3658N_20260803_172528_006.png","inputs\MX-M3658N_20260803_172528_006.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_006.png","ID_REVIEW","id1","","8","0.198","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","0.99","adaptive_max_mean","0.802","-0.104","0.153","0.513","0.000","0.000"
"MX-M3658N_20260803_172528_006.png","inputs\MX-M3658N_20260803_172528_006.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_006.png","ID_REVIEW","id2","","8","0.292","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","1.46","adaptive_max_mean","0.708","-0.146","0.125","0.369","0.000","0.000"
"MX-M3658N_20260803_172528_006.png","inputs\MX-M3658N_20260803_172528_006.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_006.png","ID_REVIEW","id3","","8","0.313","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","1.57","adaptive_max_mean","0.687","-0.088","0.194","0.565","0.000","0.000"
"MX-M3658N_20260803_172528_006.png","inputs\MX-M3658N_20260803_172528_006.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_006.png","ID_REVIEW","id4","","8","0.302","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","1.51","max_mean_without_adaptive_support","0.698","-0.169","0.243","0.712","0.000","0.000"
"MX-M3658N_20260803_172528_006.png","inputs\MX-M3658N_20260803_172528_006.pdf","outputs\new-inputs-20260803-172528-new-template-v2\CheckedOMRs\MX-M3658N_20260803_172528_006.png","ID_REVIEW","id5","","8","0.268","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","1.34","max_mean_without_adaptive_support","0.732","-0.123","0.229","0.626","0.000","0.000"
