"file_id","input_path","output_path","review_type","field","original_value","candidate","confidence","status","reason","evidence","score","legacy_rejection","ambiguity","density_gap","center_density","center_edge_ratio","threshold_vote_ratio","multiscale_stability"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528-new-template-v3\CheckedOMRs\MX-M3658N_20260803_172528_001.png","ID_REVIEW","id1","","2","0.535","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","2.67","","0.465","0.023","0.257","0.723","0.000","0.000"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528-new-template-v3\CheckedOMRs\MX-M3658N_20260803_172528_001.png","ID_REVIEW","id3","","2","0.770","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.85","","0.230","0.081","0.438","1.020","0.000","0.000"
"MX-M3658N_20260803_172528_001.png","inputs\MX-M3658N_20260803_172528_001.pdf","outputs\new-inputs-20260803-172528-new-template-v3\CheckedOMRs\MX-M3658N_20260803_172528_001.png","ID_REVIEW","id4","","5","0.838","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","4.19","","0.162","0.165","0.618","1.528","0.000","0.000"
"MX-M3658N_20260803_172528_002.png","inputs\MX-M3658N_20260803_172528_002.pdf","outputs\new-inputs-20260803-172528-new-template-v3\CheckedOMRs\MX-M3658N_20260803_172528_002.png","ID_REVIEW","id1","","2","0.681","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.41","","0.319","0.077","0.375","0.874","0.000","0.000"
"MX-M3658N_20260803_172528_003.png","inputs\MX-M3658N_20260803_172528_003.pdf","outputs\new-inputs-20260803-172528-new-template-v3\CheckedOMRs\MX-M3658N_20260803_172528_003.png","ID_REVIEW","id1","","2","0.582","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","2.91","","0.418","0.065","0.292","0.763","0.000","0.000"
"MX-M3658N_20260803_172528_003.png","inputs\MX-M3658N_20260803_172528_003.pdf","outputs\new-inputs-20260803-172528-new-template-v3\CheckedOMRs\MX-M3658N_20260803_172528_003.png","WEAK_MARK_REVIEW","q3","","B","0.294","LEGACY","score_disabled","","0.00","adaptive_min_delta_from_blank","0.000","0.000","0.394","1.765","0.500","0.750"
"MX-M3658N_20260803_172528_004.png","inputs\MX-M3658N_20260803_172528_004.pdf","outputs\new-inputs-20260803-172528-new-template-v3\CheckedOMRs\MX-M3658N_20260803_172528_004.png","ID_REVIEW","id1","","2","0.685","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.43","","0.315","0.081","0.340","0.958","0.000","0.000"
"MX-M3658N_20260803_172528_004.png","inputs\MX-M3658N_20260803_172528_004.pdf","outputs\new-inputs-20260803-172528-new-template-v3\CheckedOMRs\MX-M3658N_20260803_172528_004.png","ID_REVIEW","id3","","2","0.683","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.42","","0.317","0.077","0.410","0.967","0.000","0.000"
"MX-M3658N_20260803_172528_004.png","inputs\MX-M3658N_20260803_172528_004.pdf","outputs\new-inputs-20260803-172528-new-template-v3\CheckedOMRs\MX-M3658N_20260803_172528_004.png","ID_REVIEW","id8","","4","0.382","LOW_CONFIDENCE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","1.91","support","0.618","0.023","0.319","0.726","0.000","0.000"
"MX-M3658N_20260803_172528_005.png","inputs\MX-M3658N_20260803_172528_005.pdf","outputs\new-inputs-20260803-172528-new-template-v3\CheckedOMRs\MX-M3658N_20260803_172528_005.png","ID_REVIEW","id1","","2","0.665","RESOLVED_CANDIDATE","weak_identifier_candidate","gap,delta_from_blank,page_z,density_gap","3.32","","0.335","0.073","0.354","0.926","0.000","0.000"
