"file_id","input_path","output_path","review_type","field","original_value","candidate","confidence","status","reason","evidence","score","legacy_rejection","ambiguity","density_gap","center_density","center_edge_ratio","threshold_vote_ratio","multiscale_stability"
"MX-M3658N_20260813_185228_002.png",".jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_002.pdf","outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_002.png","WEAK_MARK_REVIEW","q7","","D","0.377","LEGACY","score_disabled","","0.00","adaptive_min_delta_from_blank","0.000","-0.079","0.380","1.683","1.000","1.000"
"MX-M3658N_20260813_185228_002.png",".jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_002.pdf","outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_002.png","WEAK_MARK_REVIEW","q8","","B","0.417","LEGACY","score_disabled","","0.00","max_mean","0.000","0.020","0.440","2.273","1.000","1.000"
"MX-M3658N_20260813_185228_012.png",".jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_012.pdf","outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_012.png","WEAK_MARK_REVIEW","q1","","A","0.669","NEEDS_REVIEW","score_disabled","","0.00","adaptive_min_delta_from_blank","0.000","0.250","0.507","1.472","1.000","1.000"
"MX-M3658N_20260813_185228_014.png",".jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_014.pdf","outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_014.png","WEAK_MARK_REVIEW","q1","","A","0.700","NEEDS_REVIEW","score_disabled","","0.00","adaptive_min_delta_from_blank","0.000","0.270","0.600","1.529","1.000","1.000"
"MX-M3658N_20260813_185228_014.png",".jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_014.pdf","outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_014.png","SINGLE_CHOICE_CONFLICT_REVIEW","q5","ABC","A","1.000","REVIEW","single_choice_conflict","gap,delta_from_blank","5.00","","0.000","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260813_185228_016.png",".jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_016.pdf","outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_016.png","WEAK_MARK_REVIEW","q1","","D","0.294","LEGACY","score_disabled","","0.00","adaptive_min_delta_from_blank","0.000","-0.032","0.207","0.641","0.750","1.000"
"MX-M3658N_20260813_185228_017.png",".jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_017.pdf","outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_017.png","WEAK_MARK_REVIEW","q1","","A","0.401","LEGACY","score_disabled","","0.00","adaptive_min_delta_from_blank","0.000","0.075","0.227","0.602","1.000","1.000"
"MX-M3658N_20260813_185228_019.png",".jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_019.pdf","outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_019.png","SINGLE_CHOICE_CONFLICT_REVIEW","q4","BC","B","0.629","REVIEW","single_choice_conflict","gap,delta_from_blank","3.14","","0.371","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260813_185228_020.png",".jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_020.pdf","outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_020.png","SINGLE_CHOICE_CONFLICT_REVIEW","q4","BC","B","0.486","REVIEW","single_choice_conflict","gap,delta_from_blank","2.43","","0.514","0.000","0.000","0.000","0.000","0.000"
"MX-M3658N_20260813_185228_020.png",".jcode_runs\gaoyi1-choice-refined\MX-M3658N_20260813_185228_020.pdf","outputs\gaoyi1-choice-refined\CheckedOMRs\MX-M3658N_20260813_185228_020.png","SINGLE_CHOICE_CONFLICT_REVIEW","q5","ABC","A","0.486","REVIEW","single_choice_conflict","gap,delta_from_blank","2.43","","0.514","0.000","0.000","0.000","0.000","0.000"
