file_id,input_path,output_path,field,value,confidence,engine,regionCode,regionName,type,bbox,artifactLocalPath
MX-M3658N_20260813_185511_001.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_001.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_001.png,fill_blank_score_text,1S,0.40570616722106934,paddleocr,FillBlank,填空题,score,"[125, 1040, 95, 60]",
MX-M3658N_20260813_185511_001.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_001.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_001.png,fill_q12_answer_text,,0.0,paddleocr,Q12,第12题填空题,answer,"[170, 1110, 225, 50]",
MX-M3658N_20260813_185511_001.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_001.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_001.png,fill_q13_answer_text,,0.0,paddleocr,Q13,第13题填空题,answer,"[485, 1110, 225, 50]",
MX-M3658N_20260813_185511_001.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_001.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_001.png,fill_q14_answer_text,,0.0,paddleocr,Q14,第14题填空题,answer,"[790, 1110, 225, 50]",
MX-M3658N_20260813_185511_001.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_001.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_001.png,q14_score_text,30,0.9712200164794922,paddleocr,Q14,第14题解答题,score,"[125, 1215, 95, 65]",
MX-M3658N_20260813_185511_001.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_001.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_001.png,solution_q15_answer_text,1）原式=一122）19√565,0.8938974056925092,paddleocr,Q15,第15题解答题,answer,"[85, 1285, 1020, 290]",
MX-M3658N_20260813_185511_002.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_002.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_002.png,fill_blank_score_text,10,0.6101380586624146,paddleocr,FillBlank,填空题,score,"[125, 1040, 95, 60]",
MX-M3658N_20260813_185511_002.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_002.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_002.png,fill_q12_answer_text,,0.0,paddleocr,Q12,第12题填空题,answer,"[170, 1110, 225, 50]",
MX-M3658N_20260813_185511_002.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_002.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_002.png,fill_q13_answer_text,,0.0,paddleocr,Q13,第13题填空题,answer,"[485, 1110, 225, 50]",
MX-M3658N_20260813_185511_002.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_002.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_002.png,fill_q14_answer_text,,0.0,paddleocr,Q14,第14题填空题,answer,"[790, 1110, 225, 50]",
MX-M3658N_20260813_185511_002.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_002.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_002.png,q14_score_text,2,0.8669673800468445,paddleocr,Q14,第14题解答题,score,"[125, 1215, 95, 65]",
MX-M3658N_20260813_185511_002.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_002.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_002.png,solution_q15_answer_text,,0.0,paddleocr,Q15,第15题解答题,answer,"[85, 1285, 1020, 290]",
MX-M3658N_20260813_185511_003.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_003.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_003.png,fill_blank_score_text,：l0,0.3527343273162842,paddleocr,FillBlank,填空题,score,"[125, 1040, 95, 60]",
MX-M3658N_20260813_185511_003.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_003.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_003.png,fill_q12_answer_text,,0.0,paddleocr,Q12,第12题填空题,answer,"[170, 1110, 225, 50]",
MX-M3658N_20260813_185511_003.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_003.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_003.png,fill_q13_answer_text,,0.0,paddleocr,Q13,第13题填空题,answer,"[485, 1110, 225, 50]",
MX-M3658N_20260813_185511_003.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_003.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_003.png,fill_q14_answer_text,,0.0,paddleocr,Q14,第14题填空题,answer,"[790, 1110, 225, 50]",
MX-M3658N_20260813_185511_003.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_003.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_003.png,q14_score_text,:70,0.6997824311256409,paddleocr,Q14,第14题解答题,score,"[125, 1215, 95, 65]",
MX-M3658N_20260813_185511_003.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_003.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_003.png,solution_q15_answer_text,,0.0,paddleocr,Q15,第15题解答题,answer,"[85, 1285, 1020, 290]",
MX-M3658N_20260813_185511_004.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_004.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_004.png,fill_blank_score_text,l,0.20197953283786774,paddleocr,FillBlank,填空题,score,"[125, 1040, 95, 60]",
MX-M3658N_20260813_185511_004.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_004.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_004.png,fill_q12_answer_text,,0.0,paddleocr,Q12,第12题填空题,answer,"[170, 1110, 225, 50]",
MX-M3658N_20260813_185511_004.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_004.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_004.png,fill_q13_answer_text,,0.0,paddleocr,Q13,第13题填空题,answer,"[485, 1110, 225, 50]",
MX-M3658N_20260813_185511_004.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_004.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_004.png,fill_q14_answer_text,,0.0,paddleocr,Q14,第14题填空题,answer,"[790, 1110, 225, 50]",
MX-M3658N_20260813_185511_004.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_004.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_004.png,q14_score_text,0,0.8967524766921997,paddleocr,Q14,第14题解答题,score,"[125, 1215, 95, 65]",
MX-M3658N_20260813_185511_004.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_004.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_004.png,solution_q15_answer_text,,0.0,paddleocr,Q15,第15题解答题,answer,"[85, 1285, 1020, 290]",
MX-M3658N_20260813_185511_005.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_005.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_005.png,fill_blank_score_text,10,0.4146716594696045,paddleocr,FillBlank,填空题,score,"[125, 1040, 95, 60]",
MX-M3658N_20260813_185511_005.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_005.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_005.png,fill_q12_answer_text,,0.0,paddleocr,Q12,第12题填空题,answer,"[170, 1110, 225, 50]",
MX-M3658N_20260813_185511_005.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_005.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_005.png,fill_q13_answer_text,,0.0,paddleocr,Q13,第13题填空题,answer,"[485, 1110, 225, 50]",
MX-M3658N_20260813_185511_005.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_005.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_005.png,fill_q14_answer_text,,0.0,paddleocr,Q14,第14题填空题,answer,"[790, 1110, 225, 50]",
MX-M3658N_20260813_185511_005.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_005.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_005.png,q14_score_text,8,0.9938250780105591,paddleocr,Q14,第14题解答题,score,"[125, 1215, 95, 65]",
MX-M3658N_20260813_185511_005.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_005.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_005.png,solution_q15_answer_text,,0.0,paddleocr,Q15,第15题解答题,answer,"[85, 1285, 1020, 290]",
MX-M3658N_20260813_185511_006.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_006.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_006.png,fill_blank_score_text,10,0.9895329475402832,paddleocr,FillBlank,填空题,score,"[125, 1040, 95, 60]",
MX-M3658N_20260813_185511_006.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_006.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_006.png,fill_q12_answer_text,,0.0,paddleocr,Q12,第12题填空题,answer,"[170, 1110, 225, 50]",
MX-M3658N_20260813_185511_006.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_006.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_006.png,fill_q13_answer_text,,0.0,paddleocr,Q13,第13题填空题,answer,"[485, 1110, 225, 50]",
MX-M3658N_20260813_185511_006.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_006.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_006.png,fill_q14_answer_text,,0.0,paddleocr,Q14,第14题填空题,answer,"[790, 1110, 225, 50]",
MX-M3658N_20260813_185511_006.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_006.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_006.png,q14_score_text,S,0.6889587044715881,paddleocr,Q14,第14题解答题,score,"[125, 1215, 95, 65]",
MX-M3658N_20260813_185511_006.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_006.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_006.png,solution_q15_answer_text,,0.0,paddleocr,Q15,第15题解答题,answer,"[85, 1285, 1020, 290]",
MX-M3658N_20260813_185511_007.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_007.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_007.png,fill_blank_score_text,:10,0.6812236309051514,paddleocr,FillBlank,填空题,score,"[125, 1040, 95, 60]",
MX-M3658N_20260813_185511_007.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_007.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_007.png,fill_q12_answer_text,,0.0,paddleocr,Q12,第12题填空题,answer,"[170, 1110, 225, 50]",
MX-M3658N_20260813_185511_007.png,.jcode_runs\gaoyi3\MX-M3658N_20260813_185511_007.pdf,outputs\gaoyi3\CheckedOMRs\MX-M3658N_20260813_185511_007.png,fill_q13_answer_text,,0.0,paddleocr,Q13,第13题填空题,answer,"[485, 1110, 225, 50]",
